Time,r.ankle Acceleration X (m/s^2),r.ankle Acceleration Y (m/s^2),r.ankle Acceleration Z (m/s^2),r.ankle Angular Velocity X (rad/s),r.ankle Angular Velocity Y (rad/s),r.ankle Angular Velocity Z (rad/s),r.ankle Magnetic Field X (uT),r.ankle Magnetic Field Y (uT),r.ankle Magnetic Field Z (uT),l.ankle Acceleration X (m/s^2),l.ankle Acceleration Y (m/s^2),l.ankle Acceleration Z (m/s^2),l.ankle Angular Velocity X (rad/s),l.ankle Angular Velocity Y (rad/s),l.ankle Angular Velocity Z (rad/s),l.ankle Magnetic Field X (uT),l.ankle Magnetic Field Y (uT),l.ankle Magnetic Field Z (uT),r.thigh Acceleration X (m/s^2),r.thigh Acceleration Y (m/s^2),r.thigh Acceleration Z (m/s^2),r.thigh Angular Velocity X (rad/s),r.thigh Angular Velocity Y (rad/s),r.thigh Angular Velocity Z (rad/s),r.thigh Magnetic Field X (uT),r.thigh Magnetic Field Y (uT),r.thigh Magnetic Field Z (uT),l.thigh Acceleration X (m/s^2),l.thigh Acceleration Y (m/s^2),l.thigh Acceleration Z (m/s^2),l.thigh Angular Velocity X (rad/s),l.thigh Angular Velocity Y (rad/s),l.thigh Angular Velocity Z (rad/s),l.thigh Magnetic Field X (uT),l.thigh Magnetic Field Y (uT),l.thigh Magnetic Field Z (uT),head Acceleration X (m/s^2),head Acceleration Y (m/s^2),head Acceleration Z (m/s^2),head Angular Velocity X (rad/s),head Angular Velocity Y (rad/s),head Angular Velocity Z (rad/s),head Magnetic Field X (uT),head Magnetic Field Y (uT),head Magnetic Field Z (uT),sternum Acceleration X (m/s^2),sternum Acceleration Y (m/s^2),sternum Acceleration Z (m/s^2),sternum Angular Velocity X (rad/s),sternum Angular Velocity Y (rad/s),sternum Angular Velocity Z (rad/s),sternum Magnetic Field X (uT),sternum Magnetic Field Y (uT),sternum Magnetic Field Z (uT),waist Acceleration X (m/s^2),waist Acceleration Y (m/s^2),waist Acceleration Z (m/s^2),waist Angular Velocity X (rad/s),waist Angular Velocity Y (rad/s),waist Angular Velocity Z (rad/s),waist Magnetic Field X (uT),waist Magnetic Field Y (uT),waist Magnetic Field Z (uT)
1305397830195310,-9.511916,1.684258,-1.872194,0.304484,0.03164,-0.011345,47.84348,12.189204,13.825173,-9.572364,-0.840155,-1.845921,0.022651,0.004189,-0.020597,46.069783,-30.13031,12.129644,-9.604189,-0.273125,-1.665797,0.049867,-0.008499,-0.01239,36.757714,-1.596973,-48.479173,-9.503685,-1.204611,-1.390619,0.201099,0.200364,-0.002126,36.380094,-61.074555,-31.664918,-8.561103,-0.073339,-4.579247,0.24326,0.080126,-0.008953,19.05839,-48.943892,-82.452257,-9.660782,0.34949,-1.395143,-0.050586,0.18081,0.074991,29.00833,-23.225126,-49.882554,-8.722896,0.056593,4.426288,0.140313,1.205403,-0.016548,41.200861,-11.773557,-17.111709
1305397830203120,-9.50084,1.699559,-1.856582,0.292799,0.026485,-0.00831,48.327175,11.696466,13.855753,-9.570267,-0.831373,-1.832312,0.017924,0.010328,-0.01734,45.577625,-30.117097,12.612129,-9.620365,-0.264079,-1.649362,0.051401,-0.005477,-0.000285,35.933846,-2.649907,-48.494932,-9.527947,-1.221308,-1.390602,0.206081,0.202064,-0.0022,37.972568,-62.090825,-30.63058,-8.544573,-0.063787,-4.579241,0.236768,0.068615,-0.020876,19.059547,-49.790816,-82.469818,-9.642151,0.33314,-1.226532,-0.035028,0.167215,0.086841,34.035198,-28.470917,-50.351999,-8.706615,0.047584,4.409788,0.144226,1.201762,-0.04046,45.928071,-20.999823,-25.183332
1305397830210930,-9.464032,1.659305,-1.863364,0.281428,0.029106,-0.014728,47.84348,12.189204,13.825173,-9.581228,-0.842252,-1.832298,0.013125,0.008815,-0.018951,46.069783,-30.13031,12.129644,-9.591625,-0.226283,-1.651617,0.050109,-0.006563,-0.036651,35.127817,-2.650908,-47.649372,-9.552034,-1.228715,-1.397653,0.209177,0.206765,-0.014155,37.926073,-62.098093,-32.333555,-8.53744,-0.056713,-4.586237,0.230206,0.071956,-0.026926,19.059547,-49.790816,-82.469818,-9.602296,0.305504,-1.448996,-0.047553,0.176596,0.069003,26.601477,-23.356794,-52.385517,-8.678455,0.050309,4.397985,0.148713,1.207244,-0.022493,36.083185,-20.934378,-20.141915
1305397830218750,-9.469151,1.699103,-1.85216,0.289593,0.026235,-0.011478,47.844483,11.699647,13.846913,-9.572361,-0.840178,-1.83003,0.013089,0.002656,-0.019013,45.577625,-30.117097,12.612129,-9.572148,-0.18399,-1.649183,0.053472,-0.012755,-0.060899,36.782412,-0.563126,-48.456881,-9.532231,-1.193523,-1.390589,0.200696,0.203174,-0.025965,37.970129,-60.015868,-32.597336,-8.544413,-0.054523,-4.588574,0.241619,0.070321,-0.020935,19.031315,-48.958654,-83.16373,-9.578707,0.303433,-1.338938,-0.041418,0.173429,0.039342,24.392086,-25.925149,-55.209843,-8.772254,0.044303,4.419282,0.149059,1.19903,0.019285,40.820271,-23.524315,-18.031803
1305397830226560,-9.480954,1.734537,-1.878853,0.289489,0.024737,-0.008335,48.327175,11.696466,13.855753,-9.585348,-0.864303,-1.811836,0.01797,0.01336,-0.012517,46.060443,-30.60573,12.639795,-9.581264,-0.172486,-1.632732,0.057794,-0.013599,-0.006355,35.134677,-2.668995,-48.488397,-9.522772,-1.200316,-1.3906,0.212218,0.208114,-0.032096,38.766976,-61.042742,-31.588478,-8.539667,-0.049801,-4.609563,0.244615,0.077327,-0.045282,19.085465,-48.929129,-81.740784,-9.59228,0.34573,-1.299147,-0.037817,0.192942,0.010224,26.585776,-20.284356,-47.23151,-8.854191,0.047716,4.431152,0.140385,1.202249,0.037209,38.571897,-17.727694,-17.526613
1305397830234370,-9.483542,1.756639,-1.876592,0.279825,0.028982,-0.016312,47.844483,11.699647,13.846913,-9.58731,-0.881944,-1.809541,0.022742,0.007142,-0.007789,46.549703,-30.611593,12.641634,-9.60688,-0.163672,-1.665667,0.05273,-0.005921,0.030023,35.933846,-2.649907,-48.494932,-9.534802,-1.202856,-1.385876,0.217239,0.20657,-0.032192,38.812252,-59.997995,-30.868881,-8.556155,-0.057038,-4.60957,0.24649,0.081816,-0.008999,19.712104,-48.929985,-81.716943,-9.611409,0.331283,-1.317869,-0.044352,0.186646,0.009922,24.589547,-28.361838,-55.531206,-8.816558,0.057516,4.419339,0.152824,1.209904,0.007408,35.937995,-26.999995,-23.032385
1305397830242180,-9.503864,1.754706,-1.894406,0.296363,0.027877,-0.016109,47.84348,12.189204,13.825173,-9.581159,-0.846705,-1.807321,0.019536,0.007181,-0.010982,46.054002,-31.088501,12.665622,-9.627795,-0.152457,-1.710342,0.055416,-0.002802,-0.085202,36.739875,-2.648906,-49.340491,-9.536938,-1.188966,-1.392941,0.224546,0.207435,0.009451,37.198969,-61.060316,-30.787951,-8.56322,-0.057091,-4.597916,0.240146,0.088291,-0.002972,19.05839,-48.943892,-82.452257,-9.583327,0.310461,-1.357675,-0.033217,0.187028,0.010165,24.573846,-25.2894,-50.377199,-8.845055,0.031671,4.426429,0.143096,1.193297,-0.004662,40.770228,-26.652242,-20.692249
1305397830250000,-9.49895,1.728161,-1.894446,0.29616,0.028162,-0.009849,48.326171,12.186022,13.834012,-9.572586,-0.824749,-1.807351,0.021148,0.010257,-0.010952,46.066885,-30.12296,12.613968,-9.644214,-0.155088,-1.712723,0.052842,-0.001007,0.02394,35.166234,-1.653236,-49.305131,-9.508056,-1.181471,-1.388251,0.223977,0.216624,-0.020309,38.039873,-60.004965,-30.042874,-8.565524,-0.054812,-4.611911,0.243344,0.081852,-0.015034,19.084308,-48.082205,-81.723224,-9.578457,0.319981,-1.35534,-0.039506,0.183884,0.045598,28.810868,-20.788438,-49.56119,-8.91132,0.003191,4.445437,0.152464,1.186759,0.007272,43.539444,-17.950654,-22.477743
1305397830257810,-9.499218,1.745825,-1.885505,0.301533,0.032675,-0.022351,47.850114,12.183234,13.315086,-9.583253,-0.855508,-1.807308,0.02276,0.013333,-0.010921,46.549703,-30.611593,12.641634,-9.653832,-0.169247,-1.717457,0.043325,-0.003761,0.005819,36.739875,-2.648906,-49.340491,-9.50121,-1.19992,-1.383549,0.230736,0.216837,-0.014458,37.220998,-60.019203,-30.919841,-8.558665,-0.063955,-4.593246,0.236738,0.078723,-0.03312,18.430594,-48.096111,-82.458538,-9.590291,0.319793,-1.331919,-0.047145,0.20021,0.01022,34.035198,-28.470917,-50.351999,-8.909094,-0.003707,4.457202,0.154044,1.182116,0.007249,33.734725,-21.393611,-24.957616
1305397830265620,-9.483666,1.765459,-1.881039,0.304695,0.037918,-0.017657,48.332805,12.180052,13.323925,-9.587707,-0.855403,-1.834551,0.024371,0.010186,-0.004564,46.060443,-30.60573,12.639795,-9.652316,-0.213501,-1.72926,0.042896,-0.017054,0.036189,33.543197,-2.725258,-49.314355,-9.505849,-1.190712,-1.367042,0.225939,0.207135,-0.008473,37.94932,-62.094459,-31.482068,-8.556464,-0.07085,-4.616565,0.23679,0.072085,-0.033037,19.059547,-49.790816,-82.469818,-9.613872,0.324174,-1.343623,-0.040406,0.208138,0.046217,29.09921,-22.907252,-47.466232,-8.87672,-0.030962,4.466571,0.164696,1.16588,-0.028671,36.27348,-15.058999,-19.681868
1305397830273430,-9.494402,1.723732,-1.856558,0.294719,0.036027,-0.016193,48.332805,12.180052,13.323925,-9.596675,-0.850834,-1.848179,0.022705,0.005649,-0.012596,46.054002,-31.088501,12.665622,-9.614969,-0.217477,-1.724502,0.049959,-0.014698,-0.030555,35.916008,-3.701841,-49.356249,-9.550984,-1.170644,-1.38585,0.234347,0.208996,-0.002639,38.8355,-59.994361,-30.017394,-8.56806,-0.066435,-4.597915,0.239951,0.088627,-0.02721,17.833343,-49.77434,-81.806028,-9.632976,0.312072,-1.329561,-0.03277,0.199999,0.028339,26.206555,-18.483417,-51.74279,-8.841709,-0.039691,4.459465,0.160596,1.155337,-0.004842,40.770228,-26.652242,-20.692249
1305397830281250,-9.507741,1.706292,-1.845419,0.297968,0.029643,-0.014538,47.84348,12.189204,13.825173,-9.607799,-0.850672,-1.845911,0.024336,0.013361,-0.014116,46.063341,-30.613081,12.155471,-9.596469,-0.228791,-1.724485,0.056465,-0.013155,-0.036663,35.902288,-3.665667,-47.678198,-9.55048,-1.142771,-1.381128,0.220843,0.215167,-0.008333,38.790224,-61.039108,-30.736991,-8.577299,-0.059648,-4.618913,0.243376,0.089981,-0.003018,19.738022,-48.068299,-80.98791,-9.63071,0.305029,-1.348292,-0.029589,0.200108,0.028408,26.494896,-20.602231,-49.647831,-8.79472,-0.02975,4.459411,0.174217,1.153953,-0.022743,38.752315,-18.488644,-27.248301
1305397830289060,-9.496889,1.739208,-1.858765,0.284797,0.037346,-0.01632,47.850114,12.183234,13.315086,-9.603382,-0.848526,-1.848184,0.02276,0.014889,-0.012503,46.069783,-30.13031,12.129644,-9.61313,-0.245396,-1.719833,0.064262,-0.015278,-0.01245,35.134677,-2.668995,-48.488397,-9.564569,-1.126772,-1.374039,0.2261,0.217193,0.009488,38.015405,-58.971121,-31.877739,-8.581691,-0.043522,-4.628251,0.241824,0.075114,-0.008879,19.05839,-48.943892,-82.452257,-9.642685,0.295387,-1.320182,-0.032778,0.196023,0.051999,26.692357,-23.038919,-49.969195,-8.742912,-0.010491,4.461707,0.169383,1.152117,0.031011,38.902444,-9.104863,-19.266964
1305397830296870,-9.500935,1.708347,-1.885552,0.275031,0.041733,-0.021167,47.850114,12.183234,13.315086,-9.592354,-0.842078,-1.839111,0.019554,0.014928,-0.015696,45.571183,-30.599867,12.637957,-9.606174,-0.249912,-1.705725,0.061291,0.005737,-0.012515,35.141536,-2.687082,-49.327423,-9.578819,-1.120067,-1.37638,0.219343,0.208761,-0.002384,37.993377,-60.012234,-31.745849,-8.588459,-0.029755,-4.632924,0.241651,0.078686,-0.027099,18.457669,-48.081349,-81.747065,-9.652359,0.281068,-1.315488,-0.026196,0.205826,0.040512,35.667906,-21.664934,-51.717589,-8.709773,0.013113,4.461673,0.177607,1.149231,-0.028738,38.426707,-23.79331,-20.417082
1305397830304680,-9.505247,1.695148,-1.905628,0.270019,0.041644,-0.019659,47.850114,12.183234,13.315086,-9.590488,-0.817817,-1.836875,0.021103,0.010336,-0.018937,46.060443,-30.60573,12.639795,-9.603859,-0.249887,-1.719822,0.058501,-0.009402,-0.079131,35.933846,-2.649907,-48.494932,-9.563668,-1.094489,-1.402305,0.210926,0.20769,-0.008212,38.812252,-59.997995,-30.868881,-8.583684,-0.025052,-4.602604,0.2531,0.078626,-0.015069,19.005397,-49.820341,-83.892763,-9.657255,0.269203,-1.350607,-0.021479,0.208681,0.010979,31.521764,-25.848022,-50.117276,-8.686324,0.015774,4.471061,0.163944,1.147464,-0.010855,38.566959,-21.045858,-22.617481
1305397830312500,-9.503335,1.721549,-1.936808,0.27002,0.036733,-0.019619,47.850047,12.183239,13.315066,-9.597097,-0.822142,-1.83233,0.019464,0.005752,-0.022178,46.060443,-30.60573,12.639795,-9.615298,-0.238414,-1.693976,0.058147,-0.0115,-0.042743,35.145655,-1.598975,-46.788054,-9.546737,-1.084888,-1.385818,0.209297,0.20442,-0.008206,37.970129,-60.015868,-32.597336,-8.569565,-0.020179,-4.58394,0.235334,0.081606,-0.002851,19.657954,-48.959511,-83.139889,-9.652347,0.278667,-1.343612,-0.01346,0.20716,0.017048,23.815403,-21.687522,-59.399759,-8.678971,0.039,4.485182,0.160784,1.156748,-0.010809,36.083185,-20.934378,-20.141915
1305397830320310,-9.494604,1.743485,-1.93456,0.276527,0.030526,-0.016362,48.332738,12.180058,13.323905,-9.597291,-0.808906,-1.820998,0.013153,0.016546,-0.022068,46.069783,-30.13031,12.129644,-9.626944,-0.233992,-1.715141,0.075703,-0.013685,-0.030713,35.177213,-0.583215,-47.604787,-9.573191,-1.090012,-1.378724,0.20054,0.208721,-0.031892,38.812252,-59.997995,-30.868881,-8.560166,-0.017701,-4.572274,0.236995,0.076643,-0.002801,20.257519,-48.975129,-83.82752,-9.64278,0.285894,-1.341277,-0.01989,0.203668,0.022763,31.810105,-27.966835,-48.022318,-8.683676,0.038935,4.501666,0.168243,1.151535,0.013079,36.268541,-18.377164,-24.772736
1305397830328120,-9.49242,1.747883,-1.921181,0.28826,0.03397,-0.02095,47.850047,12.183239,13.315066,-9.590419,-0.822271,-1.811897,0.009992,0.019618,-0.020439,45.574081,-30.607218,12.153632,-9.622333,-0.236255,-1.729237,0.07221,-0.009266,0.005668,35.141536,-2.687082,-49.327423,-9.569047,-1.124761,-1.364596,0.195815,0.20075,-0.019931,37.993377,-60.012234,-31.745849,-8.574314,-0.024898,-4.567615,0.235347,0.079946,-0.00283,19.662581,-52.347207,-83.21013,-9.63318,0.295482,-1.334259,-0.016807,0.194775,0.058241,31.324302,-23.411333,-49.795913,-8.653211,0.037065,4.463965,0.172521,1.15403,0.037004,41.241027,-15.281959,-24.632998
1305397830335930,-9.49688,1.743533,-1.923411,0.296419,0.026176,-0.01766,47.843414,12.189209,13.825152,-9.587931,-0.83998,-1.807331,0.019591,0.022643,-0.017216,46.069783,-30.13031,12.129644,-9.60376,-0.242916,-1.736265,0.067555,0.000592,-0.000406,35.940706,-2.667994,-49.333957,-9.533327,-1.135712,-1.345775,0.192245,0.197128,-0.037792,37.971349,-61.053346,-31.613958,-8.579027,-0.0273,-4.560619,0.233481,0.080351,-0.033115,19.033628,-50.652502,-83.198851,-9.62121,0.305113,-1.343635,-0.026237,0.201227,0.04039,26.601477,-23.356794,-52.385517,-8.685865,0.048144,4.487547,0.175461,1.162415,-0.004766,36.223437,-18.186926,-22.342314
1305397830343750,-9.503929,1.761284,-1.92338,0.298083,0.034434,-0.017706,47.850047,12.183239,13.315066,-9.585641,-0.844434,-1.805055,0.016403,0.016428,-0.010889,45.580523,-30.124447,12.127805,-9.622242,-0.22929,-1.75038,0.059888,0.004489,-0.036754,35.958544,-1.616061,-48.472639,-9.524296,-1.165731,-1.341079,0.198234,0.191804,0.021731,37.243026,-58.978091,-31.051732,-8.579189,-0.036562,-4.555951,0.233973,0.072956,0.021504,19.686186,-49.791672,-82.445976,-9.611817,0.300531,-1.348319,-0.023047,0.205313,0.016799,26.692357,-23.038919,-49.969195,-8.709739,0.020063,4.51817,0.175418,1.172036,0.001265,38.47675,-20.665383,-17.756636
1305397830351560,-9.503437,1.728174,-1.932341,0.301393,0.036182,-0.017681,47.850047,12.183239,13.315066,-9.57914,-0.851399,-1.802773,0.019527,0.004541,-0.020353,45.569626,-30.603892,12.152646,-9.631489,-0.22969,-1.724323,0.063198,-0.001511,-0.054939,35.965404,-1.634148,-49.311665,-9.510336,-1.188696,-1.345813,0.180779,0.187322,-0.031694,38.016625,-60.008599,-30.894361,-8.595677,-0.0438,-4.553626,0.239932,0.078838,-0.039205,19.032472,-49.805578,-83.18129,-9.592854,0.303181,-1.360034,-0.032513,0.204047,0.040333,31.521764,-25.848022,-50.117276,-8.716938,0.008399,4.518175,0.164026,1.166541,-0.004769,38.617001,-17.917931,-19.957035
1305397830359370,-9.514742,1.726153,-1.916725,0.318032,0.034935,-0.020608,47.843414,12.189209,13.825152,-9.572466,-0.851491,-1.807312,0.019518,0.004557,-0.02195,46.05885,-30.609754,12.154485,-9.647828,-0.227662,-1.729048,0.059909,0.001623,-0.042805,36.750854,-1.578886,-47.640148,-9.517984,-1.21438,-1.355242,0.179477,0.18773,-0.007805,38.790224,-61.039108,-30.736991,-8.586374,-0.045943,-4.567613,0.231843,0.088549,-0.027146,19.005397,-49.820341,-83.892763,-9.597691,0.296022,-1.360029,-0.029578,0.201005,0.004667,26.601477,-23.356794,-52.385517,-8.702913,0.006295,4.515804,0.168442,1.162404,-0.046608,38.381602,-23.603073,-17.98666
1305397830367180,-9.508065,1.732694,-1.901119,0.319426,0.030422,-0.012725,47.856681,12.177269,12.80498,-9.570405,-0.840481,-1.807327,0.022796,0.01217,-0.013888,46.062393,-30.119668,12.612947,-9.661713,-0.218609,-1.740812,0.058023,0.006005,-0.006434,35.965404,-1.634148,-49.311665,-9.501699,-1.241951,-1.374123,0.184387,0.1877,-0.013855,37.19775,-60.022838,-31.771329,-8.574857,-0.054991,-4.579265,0.232016,0.084978,-0.008926,18.432907,-49.789959,-82.493659,-9.593169,0.281919,-1.364706,-0.031177,0.196974,0.028292,26.404016,-20.920105,-52.064153,-8.679761,-0.011853,4.515771,0.17432,1.174606,-0.016648,36.223437,-18.186926,-22.342314
